"rnk";"All";"DEU_suddeu";"FRA_figaro";"GBR_indept";"TUN_afrman";"TUR_dunya"
1;"USA";"USA";"USA";"USA";"USA";"USA"
2;"Russia";"Russia";"Russia";"Russia";"France";"Russia"
3;"China";"France";"United Kingdom";"France";"Libya";"China"
4;"Syria";"Ukraine";"China";"China";"Algeria";"United Kingdom"
5;"United Kingdom";"United Kingdom";"Syria";"Syria";"Morocco";"Germany"
6;"Ukraine";"China";"Germany";"Germany";"Syria";"Iran"
7;"France";"Turkey";"Ukraine";"Australia";"Italia";"Syria"
8;"Germany";"Italia";"Turkey";"India";"Turkey";"Ukraine"
9;"Turkey";"Syria";"Italia";"Israel";"Germany";"France"
10;"Italia";"Greece";"Israel";"Italia";"Russia";"Iraq"
