"rnk" "staname" "regname" "n" "pct"
1 "USA" "E.U." 818 5.20157700623172
2 "Russia" "E.U." 585 3.71995421594811
3 "USA" "Europe" 569 3.61821187841791
4 "United Kingdom" "E.U." 560 3.56098181355717
5 "Turkey" "E.U." 497 3.16037135953199
6 "Ukraine" "E.U." 454 2.88693882741956
7 "Russia" "NATO" 377 2.39730382805545
8 "Greece" "E.U." 374 2.37822713976854
9 "USA" "NATO" 319 2.02848785450846
10 "Russia" "Europe" 277 1.76141421849167
11 "Germany" "E.U." 262 1.6660307770571
12 "USA" "Mid East" 239 1.51977616685743
13 "China" "E.U." 216 1.37352155665776
14 "Poland" "E.U." 214 1.36080376446649
15 "Italia" "E.U." 211 1.34172707617958
16 "Ukraine" "NATO" 209 1.3290092839883
17 "Germany" "Europe" 196 1.24634363474501
18 "France" "E.U." 170 1.08101233625843
19 "Hungary" "E.U." 162 1.03014116749332
20 "United Kingdom" "Europe" 159 1.01106447920641
